"Story","Title","Result","Date","Stability","Duration (s)"
"Cambio de idioma exitoso.","Sleccion idioma","SUCCESS","2023-02-10T21:59:07.782-05:00[America/Bogota]","0.0","41.14"
"Login Exitoso","Login exitoso","SUCCESS","2023-02-10T21:59:48.932-05:00[America/Bogota]","0.0","10.98"
"Login Exitoso","Login No Exitoso","SUCCESS","2023-02-10T22:00:01.004-05:00[America/Bogota]","0.0","9.15"
"Creacion de reunion exitosa","Reunion exitosa","SUCCESS","2023-02-10T22:00:11.117-05:00[America/Bogota]","0.0","34.95"
